Year,Venue,Title,Authors,DOI,Citations
2025,T-ITS,"Virtual Coupling Formation Control for Heterogeneous High-Speed-Trains With Uncertain Dynamics, Nonuniform Communication Delays and Switching Topologies",Sara Leccese; Dario Giuseppe Lui; Alberto Petrillo; Stefania Santini,https://doi.org/10.1109/tits.2025.3633284,0
2025,T-ITS,Exact Predictor-Feedback CACC of Heterogeneous Vehicular Platoons With Distinct Actuation Delays,Amirhossein Samii; Nikolaos Bekiaris‐Liberis,https://doi.org/10.1109/tits.2025.3639208,0
2025,T-VT,DMPC Formation Control via Memory-Based Double Random Processes for UAVs With Communication Delay and Packe Dropout Under Multi-Round Formation Missions,Yuan Li; Chaofang Hu; Mingwei Sun,https://doi.org/10.1109/tvt.2025.3628672,0
2025,T-VT,A Site-Specific Channel Large-Scale Parameter Model With Ray-Based Validation,Lingyou Zhou; Jie Zhang; Jiliang Zhang; Kan Lin; Weijie Qi,https://doi.org/10.1109/tvt.2025.3640770,0
2026,T-VT,Deep State-Space Modeling of Channel Dynamics for CSI Prediction in LEO Non-Terrestrial Networks,Iqra Hameed; Md Habibur Rahman; Muhammad Usman; Hyoung-Kyu Song; Muhammad Rafid,https://doi.org/10.1109/tvt.2026.3655374,0
2026,T-VT,Energy-Efficient Predictive RIS Beamforming in Multi-Satellite LEO Networks Using Twin-Delayed Deep Reinforcement Learning,Muhammad Khalil; Ke Wang; Jinho Choi,https://doi.org/10.1109/tvt.2026.3675643,0
2026,T-VT,Multiple-RIS-Aided Predictable V2V Communications in Graph Structure with Doppler Spread Suppression,X F Wang; Ruixin Cao; Dongchan Sun,https://doi.org/10.1109/tvt.2026.3690198,0
2025,RAL,A Shared-Control Teleoperation System Based on Potential-Field-Constraint Prediction,Pengpeng Li; Weihua Li; Zhiwei Lian; Hongjun Xing; Bindi You,https://doi.org/10.1109/lra.2025.3643275,0
2026,RAL,Confidence-Based Intent Prediction for Teleoperation in Bimanual Robotic Suturing,Zhaoyang Jacopo Hu; Haozheng Xu; S Y Kim; Yanan Li; Ferdinando Rodriguez y Baena,https://doi.org/10.1109/lra.2026.3653386,0
2022,T-CST,A Nonlinear Predictive Control Approach for Urban Drainage Networks Using Data-Driven Models and Moving Horizon Estimation,Krisztian Mark Balla; Christian Schou; Jan Dimon Bendtsen; Carlos Ocampo‐Martínez; Carsten Skovmose Kallesøe,https://doi.org/10.1109/tcst.2021.3137712,0
2026,T-CST,Real-Time Short-Term Delay Compensation for Optoelectronic Tracking Control System Under Uncertainty of Target Model,Xiushuo Wang; Zhaobing Chen; Letang Xue; Zhaolong Wu; Xiangru Ding,https://doi.org/10.1109/tcst.2026.3677447,0
2025,UnmannedSys,Observer-Based Affine Formation Maneuver Control of Second-Order Multi-Agent Systems with Time Delays,Mengqing Wang; Fei Wang,https://doi.org/10.1142/s2301385026500603,0
2025,CEP,Robust prediction-based control for unknown time-varying delays and disturbances in spherical motion platform,Seong-Min Lee; Seong-Min Lee; Sangheon Lee; Sangheon Lee; Hungsun Son,https://doi.org/10.1016/j.conengprac.2025.106400,0
2026,CEP,Intelligent compensation for uncertain time delay in vehicle magnetorheological suspension control using predictive experience,Liu Zhan; Xiaowei Xu; Zian Bai; Xiaofeng Guo; Mingxing Deng,https://doi.org/10.1016/j.conengprac.2026.106796,0
2025,JAS,KT-RC: Kernel time-delayed reservoir computing for time series prediction,Heshan Wang; Mengmeng Chen; Kunjie Yu; Jing Liang; Zhaomin Lv,https://doi.org/10.1109/jas.2024.124986,0
2025,ESWA,Robust state estimation for networked systems with transmission delays via predictive event-triggered sampling,Xincheng Zhuang; Haoping Wang; Yang Tian,https://doi.org/10.1016/j.eswa.2025.130942,0
2026,ESWA,Real-time delay-compensated UWB localization for dynamic agents via deep trajectory prediction,Somayeh Modaberi; Behrouz Far,https://doi.org/10.1016/j.eswa.2026.132248,0
2026,T-IE,Improved Predictive Speed Control of Brushless Dual Rotor Motors Considering Speed Measurement Delay and Virtual Inertia Identification,Hui Wu; Shuangxia Niu; Zekai Lyu; Zhenyao Sun; Mingyuan Jiang,https://doi.org/10.1109/tie.2026.3688796,0
